咪咕央卫,#genre#
CCTV1综合,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=20251027224611ffd0fab62e6f425b90cff0897c4cf5f9&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20251027224611&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=106.13.250.88&SecurityKey=20251027224611&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=e25c24b8c2d0507bb8096d5fa942c373&ddCalcu=3e72e352cc8220449ba8fc52dd60950087bb
CCTV2财经,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/1500/index.m3u8?msisdn=202510272246114f49bb44731745faa9ca96e338c0aa32&mdspid=&spid=699004&netType=0&sid=5500346945&pid=2028597139&timestamp=20251027224611&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=106.13.250.88&SecurityKey=20251027224611&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=94c54619e1616909ff61f742de2a851a&ddCalcu=a914e5c2851a4026e1d92e4176f11669f0f9
CCTV3综艺,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=202510272246120e3e8f83e41c4f73ae0d8d9293ce50f7&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20251027224612&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=106.13.250.88&SecurityKey=20251027224612&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=21b077195bcdf485272e79c90a205cac&ddCalcu=c2a1ecb250407027a10995cb9c7def247825
CCTV4中文国际,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=2025102722461288864818914b4ad88b56862db6a25ed6&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20251027224612&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=106.13.250.88&SecurityKey=20251027224612&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=e340f9d2c5e683c035f8f3462f01799f&ddCalcu=fe93e9427011f009fd226c453ef688f35c30
CCTV5体育,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5hdnew/1200/index.m3u8?msisdn=20251027224612c5f7a8683cfc4343be3468d60e078571&mdspid=&spid=699004&netType=0&sid=5500516171&pid=2028597139&timestamp=20251027224612&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=106.13.250.88&SecurityKey=20251027224612&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=4856398da83d2b836b36a9b8a4e7f6f8&ddCalcu=84f8e652f61730e948ad8ab893ad623bb863
CCTV5+体育赛事,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5plusnew/1200/index.m3u8?msisdn=202510272246122dec9b623e914bec933408030021b919&mdspid=&spid=699004&netType=0&sid=5500516288&pid=2028597139&timestamp=20251027224612&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=641886773&ParentNodeID=-99&assertID=5500516288&client_ip=106.13.250.88&SecurityKey=20251027224612&promotionId=&mvid=5102048803&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=66bbfb70256ea113f512442939926268&ddCalcu=8666e2b26b12f09b97309225464e2a1151f3
CCTV6电影,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?msisdn=2025102722461247c08cc4a4504a6db5798d10c012321d&mdspid=&spid=699004&netType=0&sid=5500212872&pid=2028597139&timestamp=20251027224612&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=106.13.250.88&SecurityKey=20251027224612&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=71a25ada1e69f70f0c78c2fcb87e7cb5&ddCalcu=57b1eca2724e507a8dbac1fe26c98f77c00f
CCTV7国防军事,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/51/index.m3u8?msisdn=2025102722461237c76c846d104251afb688076a4d296e&mdspid=&spid=699004&netType=0&sid=5501083622&pid=2028597139&timestamp=20251027224612&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=106.13.250.88&SecurityKey=20251027224612&promotionId=&mvid=5102910278&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=2d282ec793a7ff2c647d5250469fbc67&ddCalcu=726dec22b83f209e6c4709532a57df7f426c
CCTV8电视剧,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv8hd/2000/index.m3u8?msisdn=202510272246127e1522be221943609d87c6f91825829a&mdspid=&spid=699004&netType=0&sid=5500212868&pid=2028597139&timestamp=20251027224612&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=106.13.250.88&SecurityKey=20251027224612&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=4d2cbab9e429ecbb0c4ed35d33185892&ddCalcu=249de8225c48b01a3b39de5432d9ee4ccb0b
CCTV9纪录,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv9hd/51/index.m3u8?msisdn=20251027224612330e90a948b749c394c6fc566e17248e&mdspid=&spid=699004&netType=0&sid=5501083624&pid=2028597139&timestamp=20251027224612&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168140&ParentNodeID=-99&assertID=5501083624&client_ip=106.13.250.88&SecurityKey=20251027224612&promotionId=&mvid=5102910384&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=d96519c6f619e2844d57cc50b0fa8783&ddCalcu=3d89e762853a10f90cb60f56c1c97e52d844
