咪咕央卫,#genre#
CCTV1综合,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=202601150800172ad22cb8b2874e35bd15cf42b68b994e&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20260115080017&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=43.139.160.244&SecurityKey=20260115080017&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=6a88aa100b804c584b208e0e95972f7f&ddCalcu=f67aef812887a09a5190e00be880042cb548
CCTV2财经,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/1500/index.m3u8?msisdn=20260115080017dad571b5849f41458f1e8265d1ae213f&mdspid=&spid=699004&netType=0&sid=5500346945&pid=2028597139&timestamp=20260115080017&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=43.139.160.244&SecurityKey=20260115080017&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=030afa6b133a54659c7eedef3686b67b&ddCalcu=b073e601ba16f08a663bf1e3d3eae574c695
CCTV3综艺,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=20260115080017da1c9ba7ba404de1810816a5a56ee361&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20260115080017&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=43.139.160.244&SecurityKey=20260115080017&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=7d7e93be5277b5b4d22b527908670135&ddCalcu=573de1710e4790638b0e95722757bb252bd4
CCTV4中文国际,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=20260115080017f5b0b3a7589145fc885bbe9979b9960d&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20260115080017&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=43.139.160.244&SecurityKey=20260115080017&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=775407af9977f4f17f27ca9074db2e35&ddCalcu=5737ee51241b00d74a7f0999a7c77f24ff71
CCTV5体育,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5hdnew/1200/index.m3u8?msisdn=20260115080017a5fb60f1849945d18f8bfdf67e45ada4&mdspid=&spid=699004&netType=0&sid=5500516171&pid=2028597139&timestamp=20260115080017&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=43.139.160.244&SecurityKey=20260115080017&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=6b7faa23a9fc283f16578e95e0c8f5a6&ddCalcu=66abe571ff18a0ca02e35a99ef8c7258631f
CCTV5+体育赛事,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5plusnew/1200/index.m3u8?msisdn=20260115080017c4ca750ea47b47068734ec21e07239ec&mdspid=&spid=699004&netType=0&sid=5500516288&pid=2028597139&timestamp=20260115080017&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=641886773&ParentNodeID=-99&assertID=5500516288&client_ip=43.139.160.244&SecurityKey=20260115080017&promotionId=&mvid=5102048803&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=c3882b210c4ff352393297a7e05e313d&ddCalcu=dc33e181381e205b02e170ac749f2f339532
CCTV6电影,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?msisdn=202601150800176ffa776ffa444267a9af4bd5542f4845&mdspid=&spid=699004&netType=0&sid=5500212872&pid=2028597139&timestamp=20260115080017&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=43.139.160.244&SecurityKey=20260115080017&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=eb3ebc3187e0c019763cdff2aad98314&ddCalcu=4e1be3318e49b0dca3a128f7fed0cc306179
CCTV7国防军事,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/51/index.m3u8?msisdn=2026011508001896f4bbb3ed984a40acc16a1511f4fbf0&mdspid=&spid=699004&netType=0&sid=5501083622&pid=2028597139&timestamp=20260115080018&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=43.139.160.244&SecurityKey=20260115080018&promotionId=&mvid=5102910278&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=e3f5ddffbe24dc75a6b81ec28a6a9004&ddCalcu=4e03e0f1953ad06daf8f2bcee2148dbc67a5
CCTV8电视剧,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv8hd/2000/index.m3u8?msisdn=20260115080018bcab27e52f21406990dff797441154ca&mdspid=&spid=699004&netType=0&sid=5500212868&pid=2028597139&timestamp=20260115080018&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=43.139.160.244&SecurityKey=20260115080018&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=08c1ec25173c9386d4e9f7353e446ef2&ddCalcu=20f8eec16144e04ce235513773fc99e348d6
CCTV9纪录,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv9hd/51/index.m3u8?msisdn=20260115080018138f2d1ed00a484aab0bdc58ac716966&mdspid=&spid=699004&netType=0&sid=5501083624&pid=2028597139&timestamp=20260115080018&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168140&ParentNodeID=-99&assertID=5501083624&client_ip=43.139.160.244&SecurityKey=20260115080018&promotionId=&mvid=5102910384&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=a57f59c42558c24dc520660bc1fd1e19&ddCalcu=9a15ee711f3d50f91cc4b20565680c2254cd
CCTV10科教,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv10hd/2000/index.m3u8?msisdn=20260115080018cf5952385df1489bb8ad8e51062d6fa9&mdspid=&spid=699004&netType=0&sid=5500212874&pid=2028597139&timestamp=20260115080018&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878405&ParentNodeID=-99&assertID=5500212874&client_ip=43.139.160.244&SecurityKey=20260115080018&promotionId=&mvid=5100001696&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=9e00e5d227686f2fca0f46ea6924f6b0&ddCalcu=09bee601f044e0259d62a2e76648f60fa2cf
CCTV11戏曲,http://gslbmgsplive.miguvideo.com/migu/kailu/cctv11hd/51/20200103/index.m3u8?msisdn=202601150800187dfd45cb1629469b9ae8ef3942831de6&mdspid=&spid=699004&netType=0&sid=5500988610&pid=2028597139&timestamp=20260115080018&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=667987558&ParentNodeID=-99&assertID=5500988610&client_ip=43.139.160.244&SecurityKey=20260115080018&promotionId=&mvid=5102751362&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=15e345fbb55f2cfb08a18ce2c9e43b9f&ddCalcu=f195ebe1337440e59fcb2be5c58f12ac8f0b
